id,_memo,level,need_item1_id,need_item1_count,need_item2_id,need_item2_count,stat_points
1,CharLv1,1,801,3,802,3,3
2,CharLv2,2,801,6,802,6,3
3,CharLv3,3,801,9,802,9,3
4,CharLv4,4,801,12,802,12,3
5,CharLv5,5,801,15,802,15,3
6,CharLv6,6,802,18,803,3,3
7,CharLv7,7,802,21,803,6,3
8,CharLv8,8,802,24,803,9,3
9,CharLv9,9,802,27,803,12,3
10,CharLv10,10,802,30,803,15,3
11,CharLv11,11,802,33,803,18,3
12,CharLv12,12,802,36,803,21,3
13,CharLv13,13,802,39,803,24,3
14,CharLv14,14,802,42,803,27,3
15,CharLv15,15,802,45,803,30,3
16,CharLv16,16,803,33,802,45,3
17,CharLv17,17,803,36,802,48,3
18,CharLv18,18,803,39,802,51,3
19,CharLv19,19,803,42,802,54,3
20,CharLv20,20,803,45,802,57,3
