id,_memo,result_item_id,result_count,need_item1_id,need_item1_count,need_item2_id,need_item2_count,need_item3_id,need_item3_count
104,에너지드링크 제작,104,1,801,2,802,1,0,0
105,참치캔 제작,105,1,801,3,0,0,0,0
106,초콜릿바 제작,106,1,801,2,0,0,0,0
107,옥수수캔 제작,107,1,801,2,0,0,0,0
108,비스킷 제작,108,1,801,1,0,0,0,0
201,M1911 제작,201,1,802,5,801,3,0,0
202,AK47 제작,202,1,802,8,801,5,803,2
203,Benelli M4 제작,203,1,802,10,803,5,801,5
204,M107 제작,204,1,802,15,803,10,801,8
205,Uzi 제작,205,1,802,4,801,3,0,0
401,헬멧 제작,401,1,802,10,803,5,801,5
501,갑옷 제작,501,1,802,15,803,8,801,10
601,.45 ACP 탄약 제작,601,20,801,3,802,1,0,0
602,7.62mm 탄약 제작,602,20,801,3,802,2,0,0
603,12게이지 산탄 제작,603,10,801,4,802,2,0,0
604,.50 BMG 탄약 제작,604,5,802,5,803,2,0,0
605,9mm 탄약 제작,605,30,801,2,802,1,0,0
822,나사 제작,822,4,821,1,0,0,0,0
110,작은 연료병 제작,110,1,840,1,845,1,0,0
111,압축 연료 제작,111,1,840,2,848,1,0,0
113,재활용 연료 제작,113,1,839,3,856,1,0,0
115,연료 젤 제작,115,1,840,3,844,2,0,0
118,수리 테이프 제작,118,1,813,1,842,1,0,0
119,수리 퍼티 제작,119,1,826,2,843,1,0,0
120,수리 스프레이 제작,120,1,826,1,846,1,841,1
123,수리 키트 제작,123,1,823,2,833,2,822,4
