id,npc_id,speaker,text,next_id
1,1,정비공 두 씨,안녕하세요! 반갑습니다.,2
2,1,정비공 두 씨,무슨 일로 오셨습니까? 도와주실 일이 몇 가지 있습니다.,0
20,2,교관,좋다. 다음 표식으로 이동해라.,0
21,2,교관,잘했다. 이제 전투를 시작하지.,0
9011,1,정비공 두 씨,쉘터 발전기가 낡아서 자재가 필요합니다. 돌과 철광석을 좀 구해다 주시겠어요?,0
9012,1,정비공 두 씨,자재가 아직 다 모이지 않았군요. 돌과 철광석을 부탁드립니다.,0
9013,1,정비공 두 씨,이거면 발전기를 고칠 수 있겠어요. 정말 감사합니다!,0
9021,1,정비공 두 씨,행성 표면에 매장된 철광석이 필요합니다. 채광해서 가져다 주세요.,0
9022,1,정비공 두 씨,철광석은 좀 모으셨나요? 서두르지 않으셔도 됩니다.,0
9023,1,정비공 두 씨,충분합니다. 덕분에 한시름 놓았어요.,0
9031,2,밀수업자 라이,탄약이 부족해. 레이드에서 탄약 좀 회수해 와.,0
9032,2,밀수업자 라이,탄약은? 아직이면 서두르는 게 좋을 거야.,0
9033,2,밀수업자 라이,좋아. 이 정도면 충분하지. 약속한 물건이다.,0
10001,999,???,"에헴, 큼....",10002
10002,999,???,"아, 아. 마이크 테스트... 콜록, 콜록! 이거 아직 잘 들리나?",10003
10003,999,???,"오, 이제 드디어 마지막 테스트를 치를 차례로군. 자네가 그동안 쌓은 실력을 어디 한번 제대로 발휘해서 통과해보게나.",10004
10004,999,교관,"앞을 막아서는 적들을 모조리 해치우고, 중간중간 눈에 띄는 필요한 물자들도 잊지 말고 긁어모아 목표지점에 도달하게.",10005
10005,999,교관,"조종하는 법을 잊었다면 옆의 기계에서 다시 한 번 보게나",0
10011,999,???,허허 첫 번째 관문을 아주 훌륭하게 통과했구먼!,10012
10012,999,???,보아하니 저기 상자가 하나 있지 않나? 그 안에 든 아이템을 쓰면 깎인 체력을 회복할 수 있다네.,10013
10013,999,???,퀵슬롯에 미리 등록해 두고 써도 되고 마우스 좌클릭으로 메뉴를 열어서 간편하게 사용해 보게나.,10014
10014,999,???,다음 관문은 방금 전보다 조금 더 까다롭고 어려울 게야.,10015
10015,999,???,주변에 있는 장애물들을 요리조리 잘 활용해 보게나!,0
10021,999,???,오호 이번에도 무사히 통과할 줄이야! 정말 대단한 실력이구먼 허허!,10022
10022,999,???,이제 바로 앞에 보이는 버튼을 누르고 훈련을 마치게나.,0
10099,999,???,쓰러지더라도 너무 걱정하지는 말게나!, 0
