id,_memo,stat,level,need_item1_id,need_item1_count,need_item2_id,need_item2_count
5001,MaxHp Lv1,MaxHp,1,802,2,801,2
5002,MaxHp Lv2,MaxHp,2,802,4,0,0
5003,MaxHp Lv3,MaxHp,3,802,6,801,2
5004,MaxHp Lv4,MaxHp,4,802,8,801,4
5005,MaxHp Lv5,MaxHp,5,802,10,801,6
5006,MaxHp Lv6,MaxHp,6,802,12,803,2
5007,MaxHp Lv7,MaxHp,7,802,14,803,4
5008,MaxHp Lv8,MaxHp,8,802,16,803,6
5009,MaxHp Lv9,MaxHp,9,802,18,803,8
5010,MaxHp Lv10,MaxHp,10,802,20,803,10
5011,MaxBattery Lv1,MaxBattery,1,802,2,0,0
5012,MaxBattery Lv2,MaxBattery,2,802,4,0,0
5013,MaxBattery Lv3,MaxBattery,3,802,6,801,2
5014,MaxBattery Lv4,MaxBattery,4,802,8,801,4
5015,MaxBattery Lv5,MaxBattery,5,802,10,801,6
5016,MaxBattery Lv6,MaxBattery,6,802,12,803,2
5017,MaxBattery Lv7,MaxBattery,7,802,14,803,4
5018,MaxBattery Lv8,MaxBattery,8,802,16,803,6
5019,MaxBattery Lv9,MaxBattery,9,802,18,803,8
5020,MaxBattery Lv10,MaxBattery,10,802,20,803,10
5021,MaxStamina Lv1,MaxStamina,1,801,2,0,0
5022,MaxStamina Lv2,MaxStamina,2,801,4,0,0
5023,MaxStamina Lv3,MaxStamina,3,801,6,802,2
5024,MaxStamina Lv4,MaxStamina,4,801,8,802,4
5025,MaxStamina Lv5,MaxStamina,5,801,10,802,6
5026,MaxStamina Lv6,MaxStamina,6,801,12,803,2
5027,MaxStamina Lv7,MaxStamina,7,801,14,803,4
5028,MaxStamina Lv8,MaxStamina,8,801,16,803,6
5029,MaxStamina Lv9,MaxStamina,9,801,18,803,8
5030,MaxStamina Lv10,MaxStamina,10,801,20,803,10
5031,MoveSpeed Lv1,MoveSpeed,1,801,2,0,0
5032,MoveSpeed Lv2,MoveSpeed,2,801,4,0,0
5033,MoveSpeed Lv3,MoveSpeed,3,801,6,802,2
5034,MoveSpeed Lv4,MoveSpeed,4,801,8,802,4
5035,MoveSpeed Lv5,MoveSpeed,5,801,10,802,6
5036,MoveSpeed Lv6,MoveSpeed,6,801,12,803,2
5037,MoveSpeed Lv7,MoveSpeed,7,801,14,803,4
5038,MoveSpeed Lv8,MoveSpeed,8,801,16,803,6
5039,MoveSpeed Lv9,MoveSpeed,9,801,18,803,8
5040,MoveSpeed Lv10,MoveSpeed,10,801,20,803,10
