id,_memo,gun_type,damage,rpm,pellet_count,max_magazine,reload_time,sound_range,ammo_item_id,bullet_speed,bullet_range,bullet_prefab_path,firing_mode,recoil_force,recoil_recovery_speed,crosshair_kick_v,crosshair_kick_h,crosshair_shake_intensity,crosshair_shake_duration,camera_shake_intensity,camera_shake_duration,spread,aim_spread,aim_fov_multiplier,aim_time,move_speed_multiplier,aim_move_speed_multiplier,muzzle_color_r,muzzle_color_g,muzzle_color_b
201,M1911,Pistol,17.0,228.0,1,7,1.9,30.0,601,190.0,20.0,Weapon/Bullet,Single,0.3,1.0,42.0,35.0,5.0,0.1,0.2,0.1,13.0,3.8,0.95,0.2,1.0,0.85,1.0,0.9,0.6
202,AK47,AssaultRifle,16.0,600.0,1,30,3.0,30.0,602,236.0,23.0,Weapon/Bullet,Auto,0.3,1.0,49.5,54.0,5.0,0.1,0.2,0.1,37.5,10.79,0.95,0.2,0.85,0.45,1.0,0.9,0.6
203,Benelli_M4,Shotgun,12.0,312.0,8,7,3.4,50.0,603,164.0,20.0,Weapon/Bullet,Single,0.3,1.0,68.0,54.0,5.0,0.1,0.2,0.1,66.0,56.0,0.95,0.2,1.0,0.5,1.0,0.9,0.6
204,M107,SniperRifle,50.0,90.0,1,10,3.5,30.0,604,440.0,50.0,Weapon/Bullet,Single,0.3,0.1,144.5,190.0,30.0,1.0,3.0,1.0,40.0,5.0,0.95,0.8,0.65,0.4,1.0,0.9,0.6
205,Uzi,SMG,14.0,570.0,1,20,2.7,30.0,605,136.0,20.0,Weapon/Bullet,Auto,0.3,1.0,41.4,32.4,5.0,0.1,0.2,0.1,19.8,9.97,0.95,0.2,0.95,0.55,1.0,0.9,0.6
211,M1911_Ice,Pistol,20.06,239.4,1,8,1.71,30.0,611,199.5,22.0,Weapon/Bullet_Ice,Single,0.26,1.1,35.7,29.75,4.5,0.09,0.18,0.09,11.05,3.23,0.95,0.18,1.0,0.87,0.4,0.8,1.0
221,M1911_Volcano,Pistol,23.46,255.36,1,10,1.52,30.0,621,212.8,24.0,Weapon/Bullet_Volcano,Single,0.21,1.25,29.4,24.5,3.75,0.08,0.15,0.08,9.1,2.66,0.95,0.16,1.0,0.89,1.0,0.4,0.1
231,Laser_Pistol,Pistol,29.75,273.6,1,12,1.23,30.0,631,380.0,28.0,Weapon/Bullet_Final,Single,0.12,1.5,16.8,14.0,2.5,0.05,0.1,0.05,6.5,1.9,0.95,0.13,1.0,0.92,0.8,0.3,1.0
212,AK47_Ice,AssaultRifle,18.88,630.0,1,31,2.7,30.0,612,247.8,25.3,Weapon/Bullet_Ice,Auto,0.26,1.1,42.07,45.9,4.5,0.09,0.18,0.09,31.88,9.17,0.95,0.18,0.87,0.47,0.4,0.8,1.0
222,AK47_Volcano,AssaultRifle,22.08,672.0,1,33,2.4,30.0,622,264.32,27.6,Weapon/Bullet_Volcano,Auto,0.21,1.25,34.65,37.8,3.75,0.08,0.15,0.08,26.25,7.55,0.95,0.16,0.89,0.49,1.0,0.4,0.1
232,Laser_Rifle,AssaultRifle,28.0,720.0,1,35,1.95,30.0,632,472.0,32.2,Weapon/Bullet_Final,Auto,0.12,1.5,19.8,21.6,2.5,0.05,0.1,0.05,18.75,5.39,0.95,0.13,0.92,0.52,0.8,0.3,1.0
213,Benelli_M4_Ice,Shotgun,14.16,327.6,8,8,3.06,50.0,613,172.2,22.0,Weapon/Bullet_Ice,Single,0.26,1.1,57.8,45.9,4.5,0.09,0.18,0.09,56.1,47.6,0.95,0.18,1.0,0.52,0.4,0.8,1.0
223,Benelli_M4_Volcano,Shotgun,16.56,349.44,8,10,2.72,50.0,623,183.68,24.0,Weapon/Bullet_Volcano,Single,0.21,1.25,47.6,37.8,3.75,0.08,0.15,0.08,46.2,39.2,0.95,0.16,1.0,0.54,1.0,0.4,0.1
233,Plasma_Shotgun,Shotgun,19.2,343.2,10,10,2.38,50.0,633,262.4,26.0,Weapon/Bullet_Final,Single,0.15,1.4,34.0,27.0,3.0,0.06,0.12,0.06,39.6,33.6,0.95,0.14,1.0,0.55,0.8,0.3,1.0
214,M107_Ice,SniperRifle,59.0,94.5,1,11,3.15,30.0,614,462.0,55.0,Weapon/Bullet_Ice,Single,0.26,0.11,122.83,161.5,27.0,0.9,2.7,0.9,34.0,4.25,0.95,0.72,0.67,0.42,0.4,0.8,1.0
224,M107_Volcano,SniperRifle,69.0,100.8,1,13,2.8,30.0,624,492.8,60.0,Weapon/Bullet_Volcano,Single,0.21,0.12,101.15,133.0,22.5,0.75,2.25,0.75,28.0,3.5,0.95,0.64,0.69,0.44,1.0,0.4,0.1
234,Railgun,SniperRifle,110.0,99.0,1,12,2.1,30.0,634,1320.0,80.0,Weapon/Bullet_Final,Single,0.18,0.13,72.25,95.0,18.0,0.6,1.8,0.6,28.0,3.5,0.85,0.4,0.7,0.45,0.8,0.3,1.0
