id,_memo,name,description,type,effect_type,effect_value,use_time,use_sound,max_stack,price,weight,icon,prefab
110,작은 연료병,item.110.name,item.110.desc,Consumable,Thirst,15,1,sfx_use,10,120,1,Icons/item_110,
111,압축 연료,item.111.name,item.111.desc,Consumable,Thirst,30,1.5,sfx_use,10,120,1,Icons/item_111,
112,연료팩,item.112.name,item.112.desc,Consumable,Thirst,45,3,sfx_use,10,120,1,Icons/item_112,
113,재활용 연료,item.113.name,item.113.desc,Consumable,Thirst,40,5,sfx_use,10,120,1,Icons/item_113,
114,고급 연료,item.114.name,item.114.desc,Consumable,Thirst,60,2,sfx_use,10,120,1,Icons/item_114,
115,연료 젤,item.115.name,item.115.desc,Consumable,Thirst,70,7,sfx_use,10,120,1,Icons/item_115,
116,큰 연료통,item.116.name,item.116.desc,Consumable,Thirst,100,8,sfx_use,10,120,1,Icons/item_116,
117,급속 연료,item.117.name,item.117.desc,Consumable,Thirst,100,4,sfx_use,10,120,1,Icons/item_117,
118,수리 테이프,item.118.name,item.118.desc,Consumable,HP,15,1,sfx_use,10,150,1,Icons/item_118,
119,수리 퍼티,item.119.name,item.119.desc,Consumable,HP,30,3,sfx_use,10,150,1,Icons/item_119,
120,수리 스프레이,item.120.name,item.120.desc,Consumable,HP,25,1.5,sfx_use,10,150,1,Icons/item_120,
121,수리 폼,item.121.name,item.121.desc,Consumable,HP,50,4,sfx_use,10,150,1,Icons/item_121,
122,수리 젤,item.122.name,item.122.desc,Consumable,HP,60,2.5,sfx_use,10,150,1,Icons/item_122,
123,수리 키트,item.123.name,item.123.desc,Consumable,HP,80,6,sfx_use,10,150,1,Icons/item_123,
124,큰 수리 키트,item.124.name,item.124.desc,Consumable,HP,100,8,sfx_use,10,150,1,Icons/item_124,
201,M1911,item.201.name,item.201.desc,Weapon,Damage,25,0,,1,500,1,Icons/M1911,Item/Weapon/M1911
202,AK47,item.202.name,item.202.desc,Weapon,Damage,43,0,,1,2500,1,Icons/AK47,Item/Weapon/AK47
203,Benelli_M4,item.203.name,item.203.desc,Weapon,Damage,84,0,,1,1800,1,Icons/Benelli_M4,Item/Weapon/Benelli_M4
204,M107,item.204.name,item.204.desc,Weapon,Damage,120,0,,1,4500,1,Icons/M107,Item/Weapon/M107
205,Uzi,item.205.name,item.205.desc,Weapon,Damage,18,0,,1,1200,1,Icons/Uzi,Item/Weapon/Uzi
211,M1911_Ice,item.211.name,item.211.desc,Weapon,Damage,30,0,,1,1000,1,Icons/M1911_Ice,Item/Weapon/M1911_Ice
212,AK47_Ice,item.212.name,item.212.desc,Weapon,Damage,51,0,,1,5000,1,Icons/AK47_Ice,Item/Weapon/AK47_Ice
213,Benelli_M4_Ice,item.213.name,item.213.desc,Weapon,Damage,99,0,,1,3600,1,Icons/Benelli_M4_Ice,Item/Weapon/Benelli_M4_Ice
214,M107_Ice,item.214.name,item.214.desc,Weapon,Damage,142,0,,1,9000,1,Icons/M107_Ice,Item/Weapon/M107_Ice
215,Uzi_Ice,item.215.name,item.215.desc,Weapon,Damage,21,0,,1,2400,1,Icons/Uzi_Ice,Item/Weapon/Uzi_Ice
221,M1911_Volcano,item.221.name,item.221.desc,Weapon,Damage,35,0,,1,2000,1,Icons/M1911_Volcano,Item/Weapon/M1911_Volcano
222,AK47_Volcano,item.222.name,item.222.desc,Weapon,Damage,59,0,,1,10000,1,Icons/AK47_Volcano,Item/Weapon/AK47_Volcano
223,Benelli_M4_Volcano,item.223.name,item.223.desc,Weapon,Damage,116,0,,1,7200,1,Icons/Benelli_M4_Volcano,Item/Weapon/Benelli_M4_Volcano
224,M107_Volcano,item.224.name,item.224.desc,Weapon,Damage,166,0,,1,18000,1,Icons/M107_Volcano,Item/Weapon/M107_Volcano
225,Uzi_Volcano,item.225.name,item.225.desc,Weapon,Damage,25,0,,1,4800,1,Icons/Uzi_Volcano,Item/Weapon/Uzi_Volcano
231,Laser_Pistol,item.231.name,item.231.desc,Weapon,Damage,44,0,,1,4000,1,Icons/Laser_Pistol,Item/Weapon/Laser_Pistol
232,Laser_Rifle,item.232.name,item.232.desc,Weapon,Damage,75,0,,1,20000,1,Icons/Laser_Rifle,Item/Weapon/Laser_Rifle
233,Plasma_Shotgun,item.233.name,item.233.desc,Weapon,Damage,134,0,,1,14400,1,Icons/Plasma_Shotgun,Item/Weapon/Plasma_Shotgun
234,Railgun,item.234.name,item.234.desc,Weapon,Damage,264,0,,1,36000,1,Icons/Railgun,Item/Weapon/Railgun
235,Pulse_SMG,item.235.name,item.235.desc,Weapon,Damage,32,0,,1,9600,1,Icons/Pulse_SMG,Item/Weapon/Pulse_SMG
301,상자,item.301.name,item.301.desc,ItemBox,,0,0,,1,0,1,Icons/item_box_301,Box/ItemBox
302,창고,item.302.name,item.302.desc,Storage,,0,0,,1,0,1,Icons/storage_302,Box/Storage
303,드롭상자,item.303.name,item.303.desc,ItemBox,,0,0,,1,0,1,Icons/item_box_301,Box/DropItemBox
401,테스트용 헬멧,item.401.name,item.401.desc,Helmet,Guard,10,3,,1,100,1,Icons/helmet,Item/Helmet/TestHelmet
501,테스트용 갑옷,item.501.name,item.501.desc,Armor,Guard,10,3,,1,100,1,Icons/armor,Item/Helmet/TestHelmet
600,테스트용 탄약,item.600.name,item.600.desc,Bullet,,0,0,,999,10,1,Icons/ammo,
601,.45 ACP 탄약,item.601.name,item.601.desc,Bullet,,0,0,,100,10,1,Icons/ammo,
602,7.62mm 탄약,item.602.name,item.602.desc,Bullet,,0,0,,60,25,1,Icons/ammo,
603,12게이지 산탄,item.603.name,item.603.desc,Bullet,,0,0,,30,30,1,Icons/ammo,
604,.50 BMG 탄약,item.604.name,item.604.desc,Bullet,,0,0,,10,150,1,Icons/ammo,
605,9mm 탄약,item.605.name,item.605.desc,Bullet,,0,0,,150,8,1,Icons/ammo,
611,냉각 .45 ACP 탄약,item.611.name,item.611.desc,Bullet,,0,0,,80,25,1,Icons/ammo_ice,
612,냉각 7.62mm 탄약,item.612.name,item.612.desc,Bullet,,0,0,,45,60,1,Icons/ammo_ice,
613,냉각 12게이지 산탄,item.613.name,item.613.desc,Bullet,,0,0,,20,70,1,Icons/ammo_ice,
614,냉각 .50 BMG 탄약,item.614.name,item.614.desc,Bullet,,0,0,,7,350,1,Icons/ammo_ice,
615,냉각 9mm 탄약,item.615.name,item.615.desc,Bullet,,0,0,,120,20,1,Icons/ammo_ice,
621,화염 .45 ACP 탄약,item.621.name,item.621.desc,Bullet,,0,0,,60,50,1,Icons/ammo_volcano,
622,화염 7.62mm 탄약,item.622.name,item.622.desc,Bullet,,0,0,,30,120,1,Icons/ammo_volcano,
623,화염 12게이지 산탄,item.623.name,item.623.desc,Bullet,,0,0,,15,140,1,Icons/ammo_volcano,
624,화염 .50 BMG 탄약,item.624.name,item.624.desc,Bullet,,0,0,,5,700,1,Icons/ammo_volcano,
625,화염 9mm 탄약,item.625.name,item.625.desc,Bullet,,0,0,,90,40,1,Icons/ammo_volcano,
631,레이저 에너지 셀,item.631.name,item.631.desc,Bullet,,0,0,,40,100,1,Icons/ammo_final,
632,고출력 레이저 셀,item.632.name,item.632.desc,Bullet,,0,0,,20,250,1,Icons/ammo_final,
633,플라즈마 코어,item.633.name,item.633.desc,Bullet,,0,0,,10,300,1,Icons/ammo_final,
634,레일건 슬러그,item.634.name,item.634.desc,Bullet,,0,0,,3,1500,1,Icons/ammo_final,
