id,_memo,item_id,level,need_item1_id,need_item1_count,need_item2_id,need_item2_count
8001,헬멧 강화 Lv1,401,1,801,3,0,0
8002,헬멧 강화 Lv2,401,2,801,5,802,2
8003,헬멧 강화 Lv3,401,3,802,4,803,1
8004,갑옷 강화 Lv1,501,1,801,3,0,0
8005,갑옷 강화 Lv2,501,2,801,5,802,2
8006,갑옷 강화 Lv3,501,3,802,4,803,1
8007,소염기 강화 Lv1,901,1,801,2,0,0
8008,소염기 강화 Lv2,901,2,801,4,802,1
8009,소염기 강화 Lv3,901,3,802,3,803,1
8010,수직손잡이 강화 Lv1,903,1,801,2,0,0
8011,수직손잡이 강화 Lv2,903,2,801,4,802,1
8012,수직손잡이 강화 Lv3,903,3,802,3,803,1
8013,레이저사이트 강화 Lv1,904,1,801,2,0,0
8014,레이저사이트 강화 Lv2,904,2,801,4,802,1
8015,레이저사이트 강화 Lv3,904,3,802,3,803,1
8016,퀵드로우탄창 강화 Lv1,905,1,801,3,802,1
8017,퀵드로우탄창 강화 Lv2,905,2,801,5,802,2
8018,퀵드로우탄창 강화 Lv3,905,3,802,4,803,1
8019,대용량탄창 강화 Lv1,906,1,801,3,802,1
8020,대용량탄창 강화 Lv2,906,2,801,5,802,2
8021,대용량탄창 강화 Lv3,906,3,802,4,803,1
8022,개머리판 강화 Lv1,907,1,801,2,0,0
8023,개머리판 강화 Lv2,907,2,801,4,802,1
8024,개머리판 강화 Lv3,907,3,802,3,803,1
8025,스코프 강화 Lv1,908,1,801,3,802,1
8026,스코프 강화 Lv2,908,2,802,3,803,1
8027,스코프 강화 Lv3,908,3,802,5,803,2
