id,_memo,name,description,skill,cooldown,duration,speed,distance,power,radius,clip_name,icon,unlock_stat,unlock_level,need_item_id,need_item_count,passive_stat,passive_value
10001,대시,skill.10001.name,skill.10001.desc,Dash,8.0,0.25,18.0,0.0,0.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10002,즉시 장전,skill.10002.name,skill.10002.desc,InstantReload,20.0,8.0,0.0,0.0,0.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10003,무한 탄약,skill.10003.name,skill.10003.desc,InfiniteAmmo,30.0,8.0,0.0,0.0,0.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10004,추가탄 드론,skill.10004.name,skill.10004.desc,ExtraShot,25.0,10.0,0.0,0.0,15.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10005,확정 헤드샷,skill.10005.name,skill.10005.desc,ForceHeadshot,25.0,6.0,0.0,0.0,0.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10006,크리 데미지 증가,skill.10006.name,skill.10006.desc,CritDamage,30.0,8.0,0.0,0.0,3.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10007,사거리 증가,skill.10007.name,skill.10007.desc,RangeBoost,25.0,8.0,0.0,0.0,2.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10008,수류탄,skill.10008.name,skill.10008.desc,Grenade,15.0,1.5,8.0,9.0,45.0,3.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10009,은신,skill.10009.name,skill.10009.desc,Stealth,25.0,8.0,0.0,0.0,0.3,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10010,무한 스태미나,skill.10010.name,skill.10010.desc,InfiniteStamina,20.0,8.0,0.0,0.0,0.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10011,무적,skill.10011.name,skill.10011.desc,Invincible,30.0,5.0,0.0,0.0,0.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10012,반사,skill.10012.name,skill.10012.desc,Reflect,30.0,5.0,0.0,0.0,0.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10013,도발,skill.10013.name,skill.10013.desc,Taunt,20.0,6.0,0.0,0.0,0.0,12.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10014,강철 피부,skill.10014.name,skill.10014.desc,PassiveStat,0.0,0.0,0.0,0.0,0.0,0.0,,Icons/Skill/skill_dash_10001,,0,0,0,MaxHp,30.0
10015,행운의 사격,skill.10015.name,skill.10015.desc,LuckyShot,25.0,8.0,0.0,0.0,0.3,0.3,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
10016,공격 강화 오라,skill.10016.name,skill.10016.desc,AttackAura,30.0,10.0,0.0,0.0,0.15,8.0,,Icons/Skill/skill_dash_10001,,0,0,0,,0.0
