id,_memo,item_id,need_item1_id,need_item1_count,need_item2_id,need_item2_count
6001,M1911 수리,201,802,2,0,0
6002,AK47 수리,202,802,6,803,1
6003,Benelli_M4 수리,203,802,5,803,1
6004,M107 수리,204,802,8,803,2
6005,Uzi 수리,205,802,3,0,0
6006,테스트용 헬멧 수리,401,801,2,0,0
6007,테스트용 갑옷 수리,501,801,2,0,0
6008,M1911_Ice 수리,211,802,3,0,0
6009,M1911_Volcano 수리,221,802,5,803,1
6010,Laser_Pistol 수리,231,802,8,803,2
6011,AK47_Ice 수리,212,802,9,803,2
6012,AK47_Volcano 수리,222,802,15,803,3
6013,Laser_Rifle 수리,232,802,24,803,5
6014,Benelli_M4_Ice 수리,213,802,8,803,2
6015,Benelli_M4_Volcano 수리,223,802,13,803,3
6016,Plasma_Shotgun 수리,233,802,20,803,4
6017,M107_Ice 수리,214,802,12,803,3
6018,M107_Volcano 수리,224,802,20,803,5
6019,Railgun 수리,234,802,32,803,8
6020,Uzi_Ice 수리,215,802,5,803,1
6021,Uzi_Volcano 수리,225,802,8,803,2
6022,Pulse_SMG 수리,235,802,12,803,3
