key,type,path,volume
bgm_main,Bgm,Audio/BGM/Celestial Drift_Full,1.0
ui_click,Sfx,Audio/SFX/UI/Retro6,1.0
ui_slot_click,Sfx,Audio/SFX/UI/Minimalist2,1.0
ui_hover,Sfx,Audio/SFX/UI/Modern6,1.0
ui_item_place,Sfx,Audio/SFX/UI/Minimalist8,1.0
ui_item_place_fail,Sfx,Audio/SFX/UI/Abstract2,1.0
ui_item_register,Sfx,Audio/SFX/UI/ui_item_register,1.0
ui_dialogue_blip,Sfx,Audio/SFX/UI/ui_dialogue_blip,0.4
ui_inventory_open,Sfx,Audio/SFX/Wood Block1,1.0
ui_inventory_close,Sfx,Audio/SFX/Wood Block2,1.0
sfx_box_open,Sfx,Audio/SFX/BoxOpen,1.0
sfx_box_close,Sfx,Audio/SFX/BoxClose,1.0
sfx_storage_open,Sfx,Audio/SFX/BoxOpen,1.0
sfx_storage_close,Sfx,Audio/SFX/BoxClose,1.0
sfx_portal,Sfx,Audio/SFX/Modern13,1.0
sfx_fire_pistol,Sfx,Audio/SFX/Gun/PistolShot,1.0
sfx_fire_laser_pistol,Sfx,Audio/SFX/Gun/GunSound,1.0
sfx_fire_rifle,Sfx,Audio/SFX/Gun/RifleShot,1.0
sfx_fire_laser_rifle,Sfx,Audio/SFX/Gun/GunSound,1.0
sfx_fire_shotgun,Sfx,Audio/SFX/Gun/ShotgunShot,1.0
sfx_fire_plasma_shotgun,Sfx,Audio/SFX/Gun/GunSound,1.0
sfx_fire_sniper,Sfx,Audio/SFX/Gun/SniperShot,1.0
sfx_fire_railgun,Sfx,Audio/SFX/Gun/GunSound,1.0
sfx_fire_smg,Sfx,Audio/SFX/Gun/SmgShot,1.0
sfx_fire_pulse_smg,Sfx,Audio/SFX/Gun/GunSound,1.0
sfx_reload_start_pistol,Sfx,Audio/SFX/Gun/PistolReloadStart,1.0
sfx_reload_start_rifle,Sfx,Audio/SFX/Gun/RifleReloadStart,1.0
sfx_reload_start_shotgun,Sfx,Audio/SFX/Gun/ShotgunReloadStart,1.0
sfx_reload_start_sniper,Sfx,Audio/SFX/Gun/SniperReloadStart,1.0
sfx_reload_start_smg,Sfx,Audio/SFX/Gun/SmgReloadStart,1.0
sfx_reload_start_energy,Sfx,Audio/SFX/Gun/ReloadStart,1.0
sfx_reload_end_pistol,Sfx,Audio/SFX/Gun/PistolReloadEnd,1.0
sfx_reload_end_rifle,Sfx,Audio/SFX/Gun/RifleReloadEnd,1.0
sfx_reload_end_shotgun,Sfx,Audio/SFX/Gun/ShotgunReloadEnd,1.0
sfx_reload_end_sniper,Sfx,Audio/SFX/Gun/SniperReloadEnd,1.0
sfx_reload_end_smg,Sfx,Audio/SFX/Gun/SmgReloadEnd,1.0
sfx_reload_end_energy,Sfx,Audio/SFX/Gun/ReloadEnd,1.0
sfx_footstep_dirt_1,Sfx,Audio/SFX/Footstep/Dirt_1,0.4
sfx_footstep_dirt_2,Sfx,Audio/SFX/Footstep/Dirt_2,0.4
sfx_footstep_dirt_3,Sfx,Audio/SFX/Footstep/Dirt_3,0.4
sfx_footstep_dirt_4,Sfx,Audio/SFX/Footstep/Dirt_4,0.4
sfx_footstep_dirt_5,Sfx,Audio/SFX/Footstep/Dirt_5,0.4
sfx_roll,Sfx,Audio/SFX/sfx_roll,1.0
sfx_use,Sfx,Audio/SFX/Item/sfx_use,1.0
ui_open_repairworkbench,Sfx,Audio/SFX/Tools/RepairWorbench/RepairWorbenchOpen,1.0
ui_open_craftingtable,Sfx,Audio/SFX/Wood Block1,1.0
ui_close_craftingtable,Sfx,Audio/SFX/Wood Block2,1.0
ui_open_enhancementtable,Sfx,Audio/SFX/Wood Block1,1.0
ui_close_enhancementtable,Sfx,Audio/SFX/Wood Block2,1.0
ui_open_gunenhancementtable,Sfx,Audio/SFX/Wood Block1,1.0
ui_close_gunenhancementtable,Sfx,Audio/SFX/Wood Block2,1.0
ui_open_furnace,Sfx,Audio/SFX/Wood Block1,1.0
ui_close_furnace,Sfx,Audio/SFX/Wood Block2,1.0
ui_open_generator,Sfx,Audio/SFX/Wood Block1,1.0
ui_close_generator,Sfx,Audio/SFX/Wood Block2,1.0
ui_open_shelterupgrade,Sfx,Audio/SFX/Wood Block1,1.0
ui_close_shelterupgrade,Sfx,Audio/SFX/Wood Block2,1.0
ui_close_repairworkbench,Sfx,Audio/SFX/Wood Block2,1.0
sfx_door_open,Sfx,Audio/SFX/Shelter/DoorOpen,1.0
sfx_door_close,Sfx,Audio/SFX/Shelter/DoorClose,1.0
